,0,1,2,3,4
210,527036.5,304.46854,-128.52122,-16.623014,2.47
211,2450290.5,280.95645,-118.577446,-79.364914,2.12
212,371401.53,307.16174,-124.61449,-17.341463,1.39
213,6886.894,184.84032,-73.99155,-73.99155,2.13
214,1624.8313,320.8916,-162.75815,-162.75815,2.29
215,4481.634,227.51909,-130.22737,-80.68045,1.96
216,4862989.5,1284.6919,-634.61816,-140.56566,0.79
217,127265.805,302.26263,-178.10222,-147.13498,2.1
218,630827.3,349.03424,-140.56778,-58.97761,1.62
219,1122.904,156.46985,-75.149025,-3.2594566,1.29
220,307.5367,81.88712,-39.33711,-17.786207,1.5
221,175.39622,110.5485,-58.226933,-37.557728,2.24
222,106011.65,106.600006,-54.719913,-10.793992,1.78
223,1787.711,129.74594,-77.73883,-25.978111,2.0
224,11401.1,174.45232,-94.60311,-56.05192,1.37
225,1109272.8,596.2455,-326.0461,-16.555462,1.78
226,27209.93,206.12596,-119.10621,-33.828293,0.86
227,23.21122,159.8548,-78.959076,-25.44061,2.31
228,24128.246,225.153,-93.34528,-69.582085,2.09
229,4602.3774,273.69147,-95.885445,-67.05513,2.49
230,266.0987,109.98379,-50.52525,-24.4856,2.05
231,1412.7655,205.85194,-122.88415,-52.26989,2.09
232,98.50429,246.44525,-102.35899,-31.813953,2.34
233,2219.1196,159.38857,-86.391945,-86.391945,2.07
234,24.705008,160.96689,-75.00107,-37.939087,2.26
235,484933.4,196.02306,-128.2588,-128.2588,2.04
236,71.299774,189.28305,-94.406975,-58.900444,2.4
237,1777.4963,236.87254,-111.76814,-111.76814,2.24
238,669.86914,85.142426,-43.75872,-24.79606,2.17
239,12132.333,194.11258,-91.39354,-34.88756,2.2
240,397.40396,91.972015,-45.78076,-8.915086,2.05
241,199971.88,226.57805,-118.56697,-99.07387,2.14
242,42166.953,584.6473,-303.29233,-116.71694,2.3
243,58646.08,452.2857,-285.7823,-4.558604,2.05
244,2572376.5,513.4507,-203.71964,-20.482082,1.02
245,2801.253,147.2317,-92.77352,-8.7726555,0.5
246,9713151.0,553.2836,-188.43147,-78.106735,0.42
247,208.92812,110.98428,-52.728928,-10.077575,1.62
248,47595.13,583.5382,-258.43857,-127.86482,1.72
249,28.95881,161.57689,-83.37201,-50.027412,2.37
250,1249491.6,375.77637,-108.25032,-46.46891,1.5
251,45745.953,301.67047,-179.5926,-77.43529,1.99
252,310.8473,105.94866,-52.68754,-34.309334,2.23
253,9019.794,260.69214,-104.70588,-68.243034,1.19
254,5861.723,314.59262,-124.39453,-79.89211,1.61
255,7423506.0,1151.9272,-494.0008,-454.1002,0.26
256,4457.5312,202.46028,-88.894516,-88.894516,2.14
257,152.94034,104.9464,-46.969715,-20.988146,2.12
258,284520.72,278.89658,-112.34696,-3.1359377,1.46
259,35.07122,173.06648,-79.78699,-43.126556,2.28
260,233.77757,243.60263,-143.27753,-133.02878,2.33
261,465624.12,271.6965,-95.48511,-75.73458,2.4
262,1758536.1,214.1285,-104.42841,-104.42841,2.04
263,74513.055,187.81529,-118.735054,-27.377638,0.94
264,17748.508,157.51952,-99.931885,-12.550198,1.57
265,74597.43,330.9051,-139.63292,-64.61629,1.25
266,17.201736,155.51057,-73.44778,-58.429688,2.31
267,983.05444,139.84464,-64.22332,-7.9189973,1.88
268,1464.0516,196.34138,-120.37249,-11.353273,1.33
269,121608.89,269.60928,-97.558334,-34.412334,1.32
270,1203.0684,113.873924,-53.973583,-23.112043,2.27
271,2872.1477,225.21237,-107.30838,-107.30838,2.06
272,15794.8125,404.84842,-203.18813,-77.54645,1.28
273,130771.5,251.9782,-112.19843,-112.19843,2.23
274,1650632.5,917.2842,-359.7548,-255.48401,1.09
275,2151622.0,359.95007,-218.43056,-8.816303,1.54
276,140195920.0,1506.2056,-461.3093,-50.007294,0.29
277,92737.63,273.3506,-120.72282,-120.72282,2.05
278,856.06976,89.64984,-49.454803,-29.892042,1.48
279,2596249.2,401.22766,-122.907326,-58.01828,2.31
280,5766.3364,349.04163,-211.0289,-103.09258,2.14
281,1393.153,127.66376,-75.19093,-36.353497,1.24
282,503206.66,223.5428,-136.9256,-108.630646,2.12
283,358.7122,216.18445,-108.397026,-8.492841,1.46
284,251.20433,115.92478,-53.54735,-38.11871,1.99
285,5449.7124,226.88304,-109.29841,-45.551098,1.35
286,396.98273,122.11012,-62.251255,-26.580872,1.99
287,469.28207,122.98158,-59.842884,-43.23367,2.09
288,804.0232,134.28702,-65.07961,-41.48564,1.58
289,104.23605,100.05404,-48.848854,-11.829231,1.76
290,261669.1,307.438,-159.32959,-2.9091024,2.03
291,37338.957,408.64355,-268.64987,-65.83103,1.99
292,43976.66,427.99448,-240.54785,-59.919052,0.59
293,13298.726,178.64613,-65.90041,-3.220506,1.5
294,33239.082,378.00586,-186.58656,-69.638596,0.65
295,37155.51,265.06915,-114.34361,-113.91305,2.15
296,231.48172,69.55177,-33.736034,-21.1912,2.1
297,20.898876,163.56677,-81.037865,-45.51331,2.2
298,2433890.2,258.1439,-161.4527,-79.34568,1.14
299,1199772.0,311.3704,-156.8878,-16.013025,1.98
300,17.28747,156.21169,-76.67295,-56.004723,2.18
301,18321.62,204.8127,-90.50458,-90.50458,2.02
302,12964.611,336.44904,-217.43614,-217.43614,2.47
303,133023.17,301.65338,-168.15387,-138.42856,2.16
304,30132.898,401.50052,-158.4098,-124.52274,1.4
305,9395.67,225.7893,-137.97302,-34.722656,2.04
306,374223.38,699.6203,-375.65927,-142.1481,1.09
307,4099.198,340.54034,-213.78346,-33.901703,1.46
308,232775.17,390.81186,-175.12807,-0.4365862,1.41
309,36895.59,380.90506,-168.04784,-30.926706,2.18
310,11868.828,234.03041,-161.52997,-104.4752,2.13
311,4608.0044,418.11343,-208.68008,-73.79226,1.55
312,449.4074,115.455666,-54.41732,-2.3199635,1.59
313,648.5208,202.02187,-114.30432,-114.30432,2.18
314,380.3938,125.40466,-65.72669,-9.619631,2.04
315,16154.484,195.80638,-83.54175,-83.54175,2.18
316,18182020.0,1031.1478,-321.14716,-268.4855,0.6
317,2382.5227,258.19424,-144.59488,-38.581837,1.67
318,23392.25,257.0287,-119.53331,-14.529846,2.07
319,7575.211,191.15363,-127.017624,-127.017624,2.2
320,20283.486,226.06593,-123.712326,-54.656124,2.14
321,50589.062,184.16864,-109.10707,-48.384514,1.17
322,20012560.0,1202.5549,-498.09402,-180.45517,0.31
323,22963.348,241.02638,-125.941246,-125.941246,2.11
324,735.5968,131.61237,-74.88144,-14.360398,1.74
325,33.199684,165.77219,-70.41711,-41.03449,2.16
326,13965.238,262.74554,-124.29393,-22.615618,1.41
327,483045.72,386.01218,-157.6439,-94.51917,1.15
328,23.431576,170.49297,-78.86747,-27.209896,2.32
329,573.6518,90.35797,-46.921196,-12.280635,2.44
330,165.77461,115.20437,-59.18129,-4.243706,2.16
331,3844.5457,386.83005,-177.95055,-34.828438,1.78
332,63.58899,198.84084,-99.692726,-61.390957,2.22
333,24450.617,314.1255,-134.77283,-61.278175,1.27
334,231236.64,312.7329,-116.189865,-47.437256,1.53
335,4999.414,317.23935,-145.81334,-6.8395276,2.14
336,274627.1,227.51581,-137.08934,-32.110813,1.48
337,37.27307,161.28511,-80.54183,-56.14273,2.26
338,22.453999,170.59546,-86.81727,-69.27987,2.24
339,70.35479,210.61235,-93.49572,-86.06228,2.2
340,13136.925,205.37593,-97.5945,-12.068417,2.15
341,1148238.6,248.87,-153.1464,-129.70552,2.15
342,49307.91,194.39041,-73.51374,-73.51374,2.07
343,25.442043,160.91292,-72.987206,-25.554794,2.25
344,1505849.6,292.78738,-127.21454,-95.46428,2.08
345,1470.2031,339.73138,-165.32884,-165.32884,2.48
346,46730068.0,672.4315,-216.08089,-216.08089,0.68
347,29.38892,158.84006,-80.955696,-75.13668,2.34
348,2068.5337,137.47719,-69.383255,-3.9859347,1.15
349,40.305702,146.30441,-67.933624,-45.9621,2.13
350,189167.2,534.24365,-247.66626,-247.66626,1.24
351,60211.92,198.01064,-96.44499,-72.33828,2.1
352,34.72173,176.6112,-93.10213,-73.71955,2.2
353,24.69335,155.19377,-77.27379,-28.78308,2.33
354,45925.9,282.6155,-171.25563,-171.25563,2.17
355,5712.239,93.34442,-55.17484,-4.635073,2.12
356,60.735844,185.20818,-90.97956,-40.37178,2.26
357,3111.2026,137.99849,-64.00704,-5.0272174,1.94
358,3791263.5,772.9453,-321.37082,-64.8567,1.02
359,40033390.0,1374.8267,-491.1974,-230.4819,0.16
360,33.468163,144.1127,-63.65895,-49.647675,2.35
361,3305.8137,303.95642,-145.72643,-75.71957,1.84
362,294.74884,126.889885,-65.28286,-6.913919,2.26
363,4618.3184,101.73304,-53.882545,-13.903399,2.11
364,321541280.0,1939.8628,-574.9231,-350.88898,0.1
365,635.9591,243.77594,-147.14626,-68.78184,1.51
366,32241486.0,1104.2771,-372.1466,-372.1466,1.37
367,19645.41,228.55467,-137.31775,-8.501075,0.71
368,1378.2942,161.42822,-82.64746,-26.060415,1.87
369,169693.55,187.68513,-101.046906,-7.5204525,1.31
370,159.1936,108.638245,-53.51696,-18.8865,2.2
371,7354.6387,158.48546,-102.37784,-31.881006,1.27
372,39449.188,429.95334,-187.7569,-33.19687,0.79
373,375508.72,296.38873,-168.39925,-21.359032,2.28
374,132384.12,278.1085,-200.1714,-95.29709,1.85
